"hash","Team","Semester"
"bff8adbe6cae66d247a1e6cde6208435","9","WT-15"
"c52a0faaf93551b7635d603c5e6380d0","9","WT-15"
"83a414de6ece18dd41a2e9f581b936a2","9","WT-15"
"f745d339cc18edc5702d6ed5c1cfa00e","9","WT-15"
"9cb644e9defafa176f18e9807dc8f439","9","WT-15"
"6f7f90cfe535b7a1a47e7de6233cac78","10","WT-15"
"05b31f3594fe22222610776222de7d2c","10","WT-15"
"30e6823a0bbf9c6c0db0dd35ed88a95e","10","WT-15"
"828fb7622ede86e8c89c89d0f2f4df86","10","WT-15"
"1c98f50af3e022ecde9794a66a70a542","10","WT-15"
"90a99692e22d93a362e1692145698039","11","WT-15"
"8607f39eff8c8012fe684a0a9c48d15b","11","WT-15"
"c48e0143274db2a59ff99bf1013391c4","11","WT-15"
"b9bcd53fd2867f65b37c80b20f6b85c3","11","WT-15"
"7cd3f610733074f5008c9f044db4fff5","11","WT-15"
"2171139323f071c94eab6b52f7056141","12","WT-15"
"bafc7322f8a0bf34cae76a0df42c9d3b","12","WT-15"
"3e0749babad2fbe2152fbb88bf255a89","12","WT-15"
"b889851577294e393ee11a392a9b37e3","12","WT-15"
"119566dfc44f7aeddc6577041bec91ea","12","WT-15"
"e81be79870ba82df4811aa637a019ab2","13","WT-15"
"fe6f7a9e23e3871892e22dbc856917c1","13","WT-15"
"c584fc6c012485efb04b67a0bb80cd35","13","WT-15"
"b1ab5f5d7b27bf1d481e77572ed9114c","13","WT-15"
"1ed20f1f90ad512200471b5915612829","13","WT-15"
"198e2d35b8b0f3d2f29b2cfafd7c8c50","14","WT-15"
"2e82abf8e85b5ff209870fe67da5746e","14","WT-15"
"aa3ea90053b830232fed39c2de76d3c8","14","WT-15"
"957dde7f3208003d7a082cf8750db151","14","WT-15"
"f1683ef32a6ab0e09686fd4434fb872e","14","WT-15"
"646f8fc4ea462ebed4c473f4fc1bbe6f","15","WT-15"
"386a6312db4968d9a5a1c99a67b506f2","15","WT-15"
"e2a22a124f7c76692cdf60b93c081b0f","15","WT-15"
"ab378874b45dc35e0f4bc2e410686d6b","15","WT-15"
"7c6981c437be905e1fb0d6a55574118e","15","WT-15"
"41e656d1b6f46bc3bab015e4c28ccbef","16","WT-15"
"3447196a426a272b6616cd36fbf69925","16","WT-15"
"ece8a2760fe4845b863686efbbd62669","16","WT-15"
"9acc266b03be24d5a43adb9b5b7eb764","16","WT-15"
"43f8af90c5677301e3900367c4708751","16","WT-15"
"58f15d2b9b461bc55420caeeeef6d22a","1","ST-16"
"72ba7c279977dfc690e11b75dc1fba5c","1","ST-16"
"d28f3ce8a77fc7a7b840726d3b6fb200","1","ST-16"
"d1709e5f4636121ba142156547c39e57","1","ST-16"
"eace21281285a59c78e17eb3a0211e0c","1","ST-16"
"5d253932f8fb1e360a4c14d4c894cc60","2","ST-16"
"53d97b03a20ff20f17f5dbfeaad4bf1e","2","ST-16"
"cab525da07886f6ca11d7099081b20ee","2","ST-16"
"803ad1e7039ea09893e8f8a26e8893d6","2","ST-16"
"1490cb2385b61b242b362a27d0cbf845","2","ST-16"
"8896b6354cd35afd2e5ae3d690979490","3","ST-16"
"171a640b3ee5af85f3af89b6aa6fbca6","3","ST-16"
"aa5faa1a02cd6d71addc373828bb8f91","3","ST-16"
"9ede9430b3e65b8e266c5833f2065041","3","ST-16"
"273249cf83b2008832d7c2967d9fce95","3","ST-16"
"713a4ec8ff956ea8b89abbafd779949b","4","ST-16"
"df26b4642396761a9da099ac371a47cd","4","ST-16"
"082dc29a1895c998862bcd91b17be104","4","ST-16"
"10ee6fad916716b2a34b49df077af923","4","ST-16"
"87164cdf3734a207a02c850e94cd6c10","4","ST-16"
"a85275a1e65a7cf9c07df533c9e11958","5","ST-16"
"dfdb2ffce9dace2876dc61d46ee4394b","5","ST-16"
"c61157c6a39de56ef73fb2a8979c464a","5","ST-16"
"1ee902efec5de4b86960feade5b2fe14","5","ST-16"
"7e13443959bf50b7c50eb6ac528ca8e9","5","ST-16"
"2d16d88a4ce4168b36bbd0ca296297e9","6","ST-16"
"302cb9f04d7406f2bdcbd59d87394bfb","6","ST-16"
"4c028ababf804c5f4f33814fe17827b0","6","ST-16"
"e51a2e8ed51cc1f001f6c525a6395c6e","6","ST-16"
"2015752e4466bdb94248846e5bbb7cf4","6","ST-16"
"eb4a8df8aeb93a6e8175b3fa44a9a0c9","7","ST-16"
"5694fbc92be0507c444643af76634252","7","ST-16"
"cc619dd738db2b81c66ac877bb291b76","7","ST-16"
"1f1496dca6c8ae5e75ea0f23d8de79df","7","ST-16"
"ca55aaf1634c04057c7e9c77d765dee4","7","ST-16"
"892a17fbe4452aee517d8c108798d997","8","ST-16"
"ff2eac93d0a6ad7a07b23dc815e100b8","8","ST-16"
"5f5db698daee4fd61e6921b02a7f622a","8","ST-16"
"f79538e66f9bf065a88fa502c3a03da1","8","ST-16"
"3c523be9f7cf7d41b2c5ce72761120dd","8","ST-16"
"df1f41954d662148c25786c9a79325b1","9","ST-16"
"f0f3e2d8accaac2e4c278efd36b5ca7f","9","ST-16"
"4c79df8a83ac78c4159a5cc135573a4e","9","ST-16"
"52fccc169e3dc6d29bb1b4d6557e3a8d","9","ST-16"
"91aa98d72504dc8abbc98b6e5d376927","9","ST-16"
"d94e8de963ece98047565aa808452f6d","10","ST-16"
"33c0664f8812b025869babada2cac0e7","10","ST-16"
"39d31275343de66e13ab1c0972e7137d","10","ST-16"
"03e52282dadd6c3b787ff6d94a63c1ba","10","ST-16"
"5b839339a80969999f7ad579fcd92b16","10","ST-16"
"168c73133b7b1db6f3bde7ae976aba6a","11","ST-16"
"0e35a2e02c5116ab3b05d658cef59b99","11","ST-16"
"87362161417d83f036465e9f906d69c0","11","ST-16"
"a9dda18a99a275bb778a1cc25af6f0ff","11","ST-16"
"9db2cc6dfa623ecf2baadd7fe4c5cf77","11","ST-16"
"aebd2911eb8df6ca095358ba5787292d","12","ST-16"
"6fd20e001dadc2862d734094584e87e3","12","ST-16"
"8714daecb7866f07220d7e3f5cd80be5","12","ST-16"
"6c2e05a8e98df47644467388bc99a811","12","ST-16"
"c5203ef6746bf1c1ca4eb407015ebad2","12","ST-16"
"65fec759a48b68885bfd7bd0fcd50e85","13","ST-16"
"0e3b1572c6d4e13b517672ef120d520a","13","ST-16"
"f3e00bd82c42bd05845dd99bb127b797","13","ST-16"
"334e3a9aac1ee579db88149d66205521","13","ST-16"
"e207e7fa8a5a74d190380726c767eff6","13","ST-16"
"ca42012d52a8ab56f82c414d6d2bb70c","14","ST-16"
"e56e11503b681de39ca5ee773e129f65","14","ST-16"
"86a51a74fe5f6b40483682c9b366f9a9","14","ST-16"
"a7e0a163ae89b6e4772cc96837f708f2","14","ST-16"
"729d43e103d18246e36e3b37f7080c45","14","ST-16"
"93258f20e527020538ad09e91af3de68","15","ST-16"
"0c03cce6e420c5579c821c670208e603","15","ST-16"
"ab378874b45dc35e0f4bc2e410686d6b","15","ST-16"
"e90ea35541b31b8465fd30cb633c327d","15","ST-16"
"2d826ffd0e2f97e5936fe89e5a0511ce","15","ST-16"
"3d39dd3970fcdaba5665aae4971543c1","16","ST-16"
"a3ddce9a03fbae7f16b0b25a94f7be3e","16","ST-16"
"612753b22b113d79f8412b842f042a0e","16","ST-16"
"362be6f258a90bd5939961dab97a5414","16","ST-16"
"46a23cd75a52a3b49c592986018a9521","16","ST-16"
"86e0e602048c0e4f0f5d43619f6baa42","1","WT-16"
"726da33a285b56d4b35122f5ec0f0acf","1","WT-16"
"82434827c0021365be518bb958cad50d","1","WT-16"
"022b1453e49e4b5d91ce0df01da7dc00","1","WT-16"
"d6a09b9c73ad067e659264459a33b658","1","WT-16"
"b8e5d36c77e513e7d27e4f66be65a9aa","2","WT-16"
"8531a2e93e9ffa8b8409919463f99696","2","WT-16"
"eef32fe4cf8dcabce81624c45300479d","2","WT-16"
"d5717a5ecf13fdeedd6358d4dd3e63ce","2","WT-16"
"fa4e335d3fae4d175f5537a12de5a637","2","WT-16"
"5b442005b9bca122cf832504bcd8018b","3","WT-16"
"6956629a83f88f9c2bf332dc622f9a08","3","WT-16"
"077c71ee088e76e20d84b92e05ce3b82","3","WT-16"
"76a536c8fa72e19b321e96644983b557","3","WT-16"
"5158a38c6b6d25448ed5646054a6783a","3","WT-16"
"7f0e08dc8672411a5e87783fb5effcc6","4","WT-16"
"0fe562b5cff2a64f1e11e8e697a5c617","4","WT-16"
"dd193c8dbd48ee31cddc3fd3269454e2","4","WT-16"
"05c8cea371b89faf57c7665b85132ae6","4","WT-16"
"bf59b562782337d3182334ae140af257","4","WT-16"
"15b54f5f068c316e19d4fc4ae2748be5","5","WT-16"
"3b602a818ac4a151df022bca8bf42326","5","WT-16"
"edd019e6ad3d6675c7d2bdc35a7f17a2","5","WT-16"
"e806a00a85aac8f67aba59f0e38436b7","5","WT-16"
"66edf2d0b2bd676b4390957b2478d655","5","WT-16"
"830b2fa256ea7a4b62a2169dca95e052","6","WT-16"
"2fab982337e80a9ce3548af54d65fe12","6","WT-16"
"4d431440ffdf63f2301210dae68f5f31","6","WT-16"
"a7a253379116ddf2909f67f8ec190df4","6","WT-16"
"e46ce53ff317ac7b7a0d748c8f3ccfdf","6","WT-16"
"06b69bed7b2097f7020b2b38aacfd3bb","7","WT-16"
"c30a76121cc4ee83ca856cd953a13163","7","WT-16"
"5b1f479a47a6bfa25b071dc04054c860","7","WT-16"
"c25ac5477cd653faa52a7bd837d8d862","7","WT-16"
"54542b155d599ff0e8fcc92d9e93dd50","7","WT-16"
"254ae8ed651d7440afabbfba9d31a58a","8","WT-16"
"7d2ba66e335e5c27ebbcd4bcd0378142","8","WT-16"
"fb4a8fc921176ecbea85b63e2e65fc92","8","WT-16"
"34ecff16fcd157fb4041e5875678ed4f","8","WT-16"
"b85f4e3602bb339e32c2691e369102f7","8","WT-16"
"f1a9a6fb62911633d6120e65794fdc98","9","WT-16"
"a8a495b3ade636e8ae31b430d91c54e9","9","WT-16"
"8ce965f7f266e4261bcd073477a4e511","9","WT-16"
"cc8fa69f7fa32b4c11343a572caf0576","9","WT-16"
"d503e27d785756092eb2bfc79d8fc8e8","9","WT-16"
"04e097a3658ad6eb867e6cb47be2ead1","10","WT-16"
"3efb537e294938f360f2e912a7b5aa3f","10","WT-16"
"36e91157f0f7028478dd20770261e54d","10","WT-16"
"3dc6e4a36781ff5807d1201920bb3e71","10","WT-16"
"633e25274e7400c1f55aab197cb3d816","10","WT-16"
"01c283bdebe59a9c4bba1cdc90be3355","11","WT-16"
"45d23316761efcde8412f4a5f74d13fe","11","WT-16"
"32d7bf58e5c4e5b63450c3c5387d21a0","11","WT-16"
"2602cbda50970be95ffff30f871b86e7","11","WT-16"
"fd6ab4ce759caff3f0a73cc9ae5dae81","11","WT-16"
"1d72165df0e7a2e99ce17ef0a0281609","12","WT-16"
"9564246245d52e56582d35e7ada7d9b7","12","WT-16"
"3241f76c3dc4c28f8109b8fdabdb202a","12","WT-16"
"66e020d781b19244515dd4d8bf41da0f","12","WT-16"
"ac951c5c684383c829f9730d78da8869","12","WT-16"
"0f3a29e9abb839fa7d062516939bf173","13","WT-16"
"e8415f429d92fa26d18e3b347a8e7633","13","WT-16"
"39bb7d8278f76abad8869ec779637c95","13","WT-16"
"c94aaa85236887e4c012e16816216d3f","13","WT-16"
"73d87016959c8a5039a3fe4a3df969b3","13","WT-16"
"76b5073b10bd052cf1e88de21705eb90","14","WT-16"
"06cd3e24aa82786f84346132b5d2666e","14","WT-16"
"ed943cc09cdabb673b75bc129d042f88","14","WT-16"
"850e92d33990df6e81fc234b912fe827","14","WT-16"
"fddad52f66df154f8128f03d0713206e","14","WT-16"
"fd27f9e8c87111c4ddfd19622cb46748","15","WT-16"
"ae8952a05954b5bc6f2f4e183215468d","15","WT-16"
"b5841ec761b5c3d336dec65ecfb378a7","15","WT-16"
"35324a06f827c96fa768c17406539d6c","15","WT-16"
"f1fd23b3455e2ac26133994030bcca83","15","WT-16"
"0a389df4422b1cd4142ebd76a6eced1f","16","WT-16"
"6edddd8433a81dd3b35a7804f7c63116","16","WT-16"
"620948c0f03b8fb1e2e9788c116003e5","16","WT-16"
"6bd5db688b3ae319ad8a4055ca9f561e","16","WT-16"
"64197e2248f9a8d35beca4c573871df1","16","WT-16"
"eff47f3097fb457afab86ee8f84ff140","1","ST-17"
"4e19f45ab6fdb069295e04f3085e3b07","1","ST-17"
"cf56b86b7ea42e2cde06679e55756923","1","ST-17"
"62e448c403bf191f41c3d50b0ffc5933","1","ST-17"
"8736862fa3b4fc35ba6d50c7acd5112c","1","ST-17"
"544d204c289e29e28d632e7faaab7aa0","2","ST-17"
"9fb87c02f8158a3adf9d8eebe001a5b7","2","ST-17"
"e4af651b55bd6f5a4a4b9466273a10e3","2","ST-17"
"35f38350cab57551eacc854e26880928","2","ST-17"
"6e4cc93a7ad52347ca382debbb7b0954","2","ST-17"
"76f013970867fa3ce5bfdff2dac30bad","3","ST-17"
"de498a0b41f138230c7f44842782cfa0","3","ST-17"
"bc2ce5a5de2259ab306cc3c30059f572","3","ST-17"
"7b8aa4c89bf28c204b154d296442f7eb","3","ST-17"
"5b23cf949f3ef555914479d8cd779dee","3","ST-17"
"219a7aeaaec035209c9ef9de5bd11521","4","ST-17"
"df82e72c44e77c73b772c9d7bdb24e1a","4","ST-17"
"f3143132a6dc741e4ac20fc747a9da33","4","ST-17"
"1478f0497cc153009ce763edf6b88f53","4","ST-17"
"3283c1a7b08220d39e0aa654e8cde074","4","ST-17"
"53a2f33579cad5036f4833502a8d5ac0","5","ST-17"
"ba4c4f8569ac25aea72dd078a494fa1d","5","ST-17"
"ec00969087eb0bb8647cc89c06e9a824","5","ST-17"
"1d71b46ff3069f83eaa8372a0449c451","5","ST-17"
"ee86f07652ffee51fd6848673a7d7d85","5","ST-17"
"675e1d6410563457586c4bda65ff18f4","6","ST-17"
"5d2bfa3e13b8456219361796df58af21","6","ST-17"
"105b0d2ff3c313208085f14b926f2008","6","ST-17"
"b5080652a7d9d67a4b362e2baf375799","6","ST-17"
"269beaa4a9c7a93c8f2c36941bc7d53e","6","ST-17"
"d69829b18a972c0b5ec154742b34d34c","7","ST-17"
"5e508af9376aac24254852fbbb144438","7","ST-17"
"552105e66d023ea069455fa5a0592421","7","ST-17"
"35bfdf6190ac6e40a056597dfc80e021","7","ST-17"
"8e167d91f8234009a72ed5301930bfe3","7","ST-17"
"e7c3a3b388bc7a69ee8624e1aff835fe","8","ST-17"
"813f0a379e1cbbea551998e086cfb82a","8","ST-17"
"9f119f1ae745a7f3defdab976c0eadc7","8","ST-17"
"38a4f9a791b7684d15205446f5f04141","8","ST-17"
"5bdea205d7e9f62b83dea6438e13b411","8","ST-17"
"7f99fa7200392322b8ff4e8567144630","9","ST-17"
"d601ddfc21bfc5ecf613da5f28e0e896","9","ST-17"
"be8b40d28f67b03f04417a5a0e11a6f5","9","ST-17"
"e5e170b131f0da2b1f0170b42f24f6e2","9","ST-17"
"7f7d5d1be0f733410be944aa6257171d","9","ST-17"
"3bf97e5dcf5aa44af820632f0a032d2b","10","ST-17"
"08b47db564eddc49b570d6a73fff9714","10","ST-17"
"912cfd97e24a938cb703a652dba28db6","10","ST-17"
"be1af1e97c3165b6852db66124fc9f54","10","ST-17"
"28e6c5512c1a039cd3ade3c01998acd5","10","ST-17"
"ed2d8b3f102f5a1079416a1f5d7d99b9","11","ST-17"
"e3d37adc108ba1c901307640ba7d3f0a","11","ST-17"
"64cba17a4d6843c027d37ae5a2034389","11","ST-17"
"d87eefc1e475ea438e93bc90308dcdc2","11","ST-17"
"5eed3f6a4f4a5036cd27d008c23540a4","11","ST-17"
"0268a08a0021b83a88e960ccff51367a","12","ST-17"
"727cd920a861ace9e2c9c2fd11b56192","12","ST-17"
"9002a36c1b81521a3b08fdb851a3dc98","12","ST-17"
"d4df73d7b6fe74a4e8df69dbe354a3f2","12","ST-17"
"9da55347e385b72598916042afa5a36e","12","ST-17"
"59b260e13e8270c325bc18a949bccffa","13","ST-17"
"47dd70e3a95718a4b31afe60ea416ea0","13","ST-17"
"908093723d391d281a52584c64d5fed3","13","ST-17"
"78dede5b43d94a8c3d9e72d4a001f181","13","ST-17"
"5c1d87a9462f236683388e0a51b36cd2","13","ST-17"
"2dce073584ed0497333161e41ddf6525","14","ST-17"
"6973232e5c06e4a06aa3685489c88743","14","ST-17"
"cfcde1ae554dbe79ecfab5a2dabac2f4","14","ST-17"
"6660321580fabf173379a0b68f9de88c","14","ST-17"
"4f2af99c97b381bdc283551071148b40","14","ST-17"
"6d39c5f936252912468b6da8a91adc24","15","ST-17"
"a0bb8405d67f9ce67754dc147caf86cb","15","ST-17"
"72e7f7a5d54d4d741269e3346dfecc3d","15","ST-17"
"ecd510fe44a1510c2a8f42203c7e0009","15","ST-17"
"f8f21a9643a4654f3f445612aadd0f07","15","ST-17"
"985a1c2de9825114337679fc8a9a8a72","16","ST-17"
"e2353f7c30a0d76a2a7f966a19fdfad5","16","ST-17"
"641a787e07a8b58a9123e217f2550c48","16","ST-17"
"94deef2ee288dbc21d92ff034eb3d182","16","ST-17"
"47ab300397fe9ecec48351c3b96bab4f","16","ST-17"
"4aca2f8dde5654453de649cf00f8c40e","16","ST-17"
